Funds Center,Fund,Status,Document Identifier Code,Order Type,Purchasing Document,DoD Document Number,Storage Location,Short Text,FSC Code,Material,Delivery Date,Supply Category Material Code,MILSTRIP Status,Order Quantity,Order Unit,QTY Open,QTY Received,Requirement Priority,Net Order Price,Gross order value,Fund Code,Rec Code,Issuing Storage Loc.,QTY Intransit,QTY ISSUE (STO),Vendor,Advice Code,ARC,Del Ind,Delivery Completed,Project Code
A82BD,202010D17,Closed,A01,ZAR,7109408719,W90E2N63340004,0BST,"PUMP,WINDOW WASHER",2540,013757316,11/29/16,9K,,1,EA,0,1,2,23.65,23.65,J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109408720,W90E2N63340005,0BST,"COVER,ACCESS",5340,013912794,11/29/16,9T,,1,EA,0,1,2,89.58,89.58,J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109408721,W90E2N63340006,0BST,"BEARING,WASHER,THRUST",3120,013624371,11/29/16,9T,,1,EA,0,1,2,7.90,7.90,J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109408722,W90E2N63340007,0BST,"LATCH,DOOR,VEHICULAR",2540,013741764,11/29/16,9K,,1,EA,0,1,2,234.44,234.44,J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109408723,W90E2N63340008,0BST,"BATTERY,STORAGE",6140,014851472,11/29/16,9G,,2,EA,0,2,2,316.04,632.08,J,Z,WHQ1,0,2,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109408724,W90E2N63340009,0BST,"NITROGEN,TECHNICAL",6830,010289402,11/29/16,36,,1,CY,0,1,2,10.60,10.60,J,Z,WHJ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109408725,W90E2N63340010,0BST,"NITROGEN,TECHNICAL",6830,010289402,11/29/16,36,,1,CY,0,1,2,10.60,10.60,J,Z,WHJ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109408726,W90E2N63340011,0BST,"NITROGEN,TECHNICAL",6830,010289402,11/29/16,36,,1,CY,0,1,2,10.60,10.60,J,Z,WHJ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109408727,W90E2N63340012,0BST,"NITROGEN,TECHNICAL",6830,010289402,11/29/16,36,,1,CY,0,1,2,10.60,10.60,J,Z,WHJ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109408728,W90E2N63340013,0BST,"COVER,VEHICULAR COMPONENTS",2590,016589749,11/29/16,9K,B7,1,EA,0,1,2,"9,040.19","9,040.19",J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109408729,W90E2N63340014,0BST,"COVER,VEHICULAR COMPONENTS",2590,016589749,11/29/16,9K,B7,1,EA,0,1,2,"9,040.19","9,040.19",J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109408730,W90E2N63340015,0BST,"COVER,VEHICULAR COMPONENTS",2590,016589749,11/29/16,9K,B7,1,EA,0,1,2,"9,040.19","9,040.19",J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109408731,W90E2N63340016,0BST,BATTERY POWER SUPPLY,6130,015022579,11/29/16,9G,,1,EA,0,1,2,680.46,680.46,J,A,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7109408732,W90E2N63340017,0BST,"COVER,VEHICULAR COMPONENTS",2590,016589749,11/29/16,9K,B7,1,EA,0,1,2,"9,040.19","9,040.19",J,Z,WHQ1,0,1,PLANT2001,,X,,X,
