UIC12,Receiving SLOC,Issue Storage Loc,Force Element - SLOC,DODAAC,AR DOD Doc Num,PReq No.,PO Document Number,SCMC,PR NIIN,Date on which the AR,Column1,PR Funds Center,AR Funds Center,Fiscal Year,AR Functional area,Turn-In Date,Clearing Date,Total PR Count,Expected Credit,Open PR Count,Open Credit,Closed PR Count, Received Credit 
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N82550001,1033973818,7116532716,9Z,15540754,10/12/18,baws,ARMY/A82BD,ARMY/A82BD,V9/2019,113003WEAD,9/22/18,10/12/18,1,,0,,1,43572.00
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N62590008,1009633904,7108443907,9G,13823222,10/6/16,,ARMY/A82BD,ARMY/A82BD,V9/2017,113003WEAD,9/15/16,10/6/16,1,-151,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N62590008,1009633904,7108443907,9G,13823222,10/6/16,,ARMY/A82BD,ARMY/A82BD,V9/2017,113003WEAD,9/15/16,10/24/16,1,151,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N62590008,1009633904,7108443907,9G,13823222,10/24/16,,ARMY/A82BD,ARMY/A82BD,V9/2017,113003WEAD,9/15/16,10/24/16,1,-151,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N90150002,1038524674,7118718823,9Z,15540754,1/24/19,baws,ARMY/A82BD,ARMY/A82BD,V9/2019,113003WHST,1/16/19,1/24/19,1,,0,,1,39669.00
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N62590024,1009855098,7108514041,9O,15629671,10/6/16,,ARMY/A82BD,ARMY/A82BD,V9/2017,113003WEAD,9/15/16,10/6/16,1,-32232,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N62590024,1009855098,7108514041,9O,15629671,10/6/16,,ARMY/A82BD,ARMY/A82BD,V9/2017,113003WEAD,9/15/16,10/24/16,1,32232,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N62590024,1009855098,7108514041,9O,15629671,10/24/16,,ARMY/A82BD,ARMY/A82BD,V9/2017,113003WEAD,9/15/16,10/24/16,1,-32232,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N62590024,1009855098,7108514041,9O,15629671,1/12/17,display unit,ARMY/A82BD,ARMY/A82BD,V9/2017,113003WEAD,9/15/16,1/12/17,1,32232,0,,1,32232.00
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N63100002,1011310772,7109189095,9M,14973105,12/1/16,,ARMY/A82BD,ARMY/A82BD,V9/2017,113019WMPB,11/30/16,12/2/16,1,940,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N63100002,1011310772,7109189095,9M,14973105,12/2/16,,ARMY/A82BD,ARMY/A82BD,V9/2017,113019WMPB,11/30/16,12/2/16,1,-940,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N63100002,1011310772,7109189095,9M,14973105,12/2/16,,ARMY/A82BD,ARMY/A82BD,V9/2017,113019WMPB,11/30/16,12/8/16,1,940,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N92960002,1050261795,7122523490,9O,16007361,11/8/19,display unit,ARMY/A82BD,ARMY/A82BD,V9/2020,113003WHST,10/29/19,11/8/19,1,,0,,1,31587.00
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N70590004,1013956586,7110118925,9K,200003667,3/9/17,,ARMY/A82BD,ARMY/A82BD,V9/2017,113019WMPB,3/8/17,3/10/17,1,949,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N70590004,1013956586,7110118925,9K,200003667,3/10/17,,ARMY/A82BD,ARMY/A82BD,V9/2017,113019WMPB,3/8/17,3/10/17,1,-949,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N70590004,1013956586,7110118925,9K,200003667,3/10/17,,ARMY/A82BD,ARMY/A82BD,V9/2017,113019WMPB,3/8/17,3/14/17,1,949,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N93510002,1051786843,7123159302,9O,16007361,1/14/20,display unit,ARMY/A82BD,ARMY/A82BD,V9/2020,113003WHST,1/3/20,1/14/20,1,,0,,1,31587.00
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N70660002,1011675096,7110400278,9M,15390509,4/3/17,,ARMY/A82BD,ARMY/A82BD,V9/2017,113003WEAD,3/31/17,4/5/17,1,23397,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N70660002,1011675096,7110400278,9M,15390509,4/5/17,,ARMY/A82BD,ARMY/A82BD,V9/2017,113003WEAD,3/31/17,4/5/17,1,-23397,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N70660002,1011675096,7110400278,9M,15390509,4/5/17,,ARMY/A82BD,ARMY/A82BD,V9/2017,113003WEAD,3/31/17,4/8/17,1,23397,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N91890002,1045628231,7121005865,9O,123713741,7/23/19,housing monitor chemical agent,ARMY/A82BD,ARMY/A82BD,V9/2019,113003WHST,7/16/19,7/23/19,1,,0,,1,27055.00
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N71710001,1016053922,7111364388,9D,123781200,6/26/17,,ARMY/A82BD,ARMY/A82BD,V9/2017,113003WEAD,6/23/17,6/28/17,1,9973,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N71710001,1016053922,7111364388,9D,123781200,6/28/17,,ARMY/A82BD,ARMY/A82BD,V9/2017,113003WEAD,6/23/17,6/28/17,1,-9973,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N71710001,1016053922,7111364388,9D,123781200,6/28/17,,ARMY/A82BD,ARMY/A82BD,V9/2017,113003WEAD,6/23/17,7/8/17,1,9973,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N70660002,1011675096,7110400278,9M,15390509,4/8/17,thermal imaging system tis,ARMY/A82BD,ARMY/A82BD,V9/2017,113003WEAD,3/31/17,4/8/17,1,,0,,1,23397.00
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N71740001,1010988123,7111784395,9K,200003667,6/26/17,,ARMY/A82BD,ARMY/A82BD,V9/2017,113003WEAD,6/23/17,6/28/17,1,2847,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N71740001,1010988123,7111784395,9K,200003667,6/28/17,,ARMY/A82BD,ARMY/A82BD,V9/2017,113003WEAD,6/23/17,6/28/17,1,-2847,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N71740001,1010988123,7111784395,9K,200003667,6/28/17,,ARMY/A82BD,ARMY/A82BD,V9/2017,113003WEAD,6/23/17,7/8/17,1,2847,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N83520003,1038346386,7118201945,9O,200013985,12/22/18,transmission,ARMY/A82BD,ARMY/A82BD,V9/2019,113003WHST,12/19/18,12/22/18,1,,0,,1,20447.00
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N71740002,1011056492,7111784396,9K,200003667,6/26/17,,ARMY/A82BD,ARMY/A82BD,V9/2017,113003WEAD,6/23/17,6/28/17,1,949,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N71740002,1011056492,7111784396,9K,200003667,6/28/17,,ARMY/A82BD,ARMY/A82BD,V9/2017,113003WEAD,6/23/17,6/28/17,1,-949,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N71740002,1011056492,7111784396,9K,200003667,6/28/17,,ARMY/A82BD,ARMY/A82BD,V9/2017,113003WEAD,6/23/17,7/8/17,1,949,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N90160001,1038477958,7118381981,9M,15826735,1/24/19,elevation range finder,ARMY/A82BD,ARMY/A82BD,V9/2019,113003WHST,1/17/19,1/24/19,1,,0,,1,17680.00
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N71860002,1017839650,7111496226,9O,15789318,8/18/17,,ARMY/A82BD,ARMY/A82BD,V9/2017,113003WEAD,8/17/17,8/21/17,1,909,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N71860002,1017839650,7111496226,9O,15789318,8/21/17,,ARMY/A82BD,ARMY/A82BD,V9/2017,113003WEAD,8/17/17,8/21/17,1,-909,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N71860002,1017839650,7111496226,9O,15789318,8/21/17,,ARMY/A82BD,ARMY/A82BD,V9/2017,113003WEAD,8/17/17,8/22/17,1,909,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N81090008,1028030176,7115262796,9Z,15289280,4/26/18,identifier assembly,ARMY/A82BD,ARMY/A82BD,V9/2018,113003WEAD,4/20/18,4/26/18,1,,0,,1,17601.00
