Column1,FY,Year,WorkCenter,AdminNum,Equipment,Serial,WorkOrder,Type,Priority,ProjectCode,Description,Created.on,Release.date,Comp.Date,Material,Cost,credit,Date,vehicle,month,CBMS,jbpds,rws,majComponent,days
248,FY19,19,WH8DAA,71-111,1011279664,NBC-0108-11,1004840807,PM01,2,,DRIVER STAY DEVICES WONT HOLD AT 10 DEG,10/19/18,,11/2/18,14818579,306,,Oct-18,111,10,FALSE,FALSE,FALSE,0,
249,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1004840957,PM01,2,,DRIVER UTILITY LIGHT INOP,10/19/18,,11/2/18,14818579,2128,,Oct-18,112,10,FALSE,FALSE,FALSE,0,
263,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1004907791,PM01,1,,FTS INOP,10/30/18,,11/6/18,14818579,0,,Oct-18,122,10,FALSE,TRUE,FALSE,1,
267,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1004907665,PM01,1,,JBPDS T6 LINE INOP,10/30/18,,11/29/18,14818579,0,,Oct-18,122,10,FALSE,TRUE,FALSE,1,48
252,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1004896222,PM01,1,,CBMS BLOCK II,10/27/18,,10/27/18,14818579,0,,Oct-18,121,10,TRUE,FALSE,FALSE,1,745
253,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1004896226,PM01,1,,ELECTRONIC MODULE INOP,10/27/18,,11/9/18,14818579,0,,Oct-18,121,10,FALSE,FALSE,FALSE,0,
254,FY19,19,WH8DAA,71-111,1011279664,NBC-0108-11,1004904760,PM01,1,,COLLECTOR INOP,10/29/18,,10/30/18,14818579,0,,Oct-18,111,10,FALSE,FALSE,FALSE,0,
329,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1005265757,PM01,1,,RWS Firing inhibit faulty,1/9/19,,1/25/19,14818579,0,,Jan-19,112,1,FALSE,FALSE,TRUE,1,13
299,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1005228105,PM02,2,,JBPDS SCREEN CRACKED,12/27/18,,1/24/19,14818579,0,,Dec-18,112,12,FALSE,TRUE,FALSE,1,442
257,FY19,19,WH8DAA,71-111,1011279664,NBC-0108-11,1004914903,PM02,1,,FTS INOP,10/30/18,,10/30/18,14818579,0,,Oct-18,111,10,FALSE,TRUE,FALSE,1,
258,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1004907662,PM01,1,,COLLECTOR INOP,10/30/18,,10/30/18,14818579,0,,Oct-18,121,10,FALSE,FALSE,FALSE,0,
259,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1004907663,PM01,1,,FTS INOP,10/30/18,,10/30/18,14818579,0,,Oct-18,121,10,FALSE,TRUE,FALSE,1,54
260,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1004907517,PM01,1,,Collector inop,10/30/18,,10/30/18,14818579,0,,Oct-18,112,10,FALSE,FALSE,FALSE,0,
261,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1004907790,PM01,1,,Needs New UDR13 Mount,10/30/18,,10/30/18,14818579,0,,Oct-18,112,10,FALSE,FALSE,FALSE,0,
262,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1004914915,PM01,2,,RATION HEATER INOP,10/30/18,,11/5/18,14818579,0,,Oct-18,112,10,FALSE,FALSE,FALSE,0,
269,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1004907666,PM01,2,,SERVER HATCH SEAL DAMAGED,10/30/18,,1/21/19,14818579,28.11,,Oct-18,122,10,FALSE,FALSE,FALSE,0,
305,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1005227997,PM01,2,,RWS AMMO GUIDE MISSING,12/27/18,,2/14/19,14818579,74.45,,Dec-18,112,12,FALSE,FALSE,TRUE,1,
265,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1004907513,PM01,1,,COLLECTOR INOP,10/30/18,,11/27/18,14818579,0,,Oct-18,112,10,FALSE,FALSE,FALSE,0,
266,FY19,19,WH8DAA,71-111,1011279664,NBC-0108-11,1004914913,PM01,1,,COLLECTOR INOP,10/30/18,,11/29/18,14818579,0,,Oct-18,111,10,FALSE,FALSE,FALSE,0,
251,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1004874318,PM01,1,,TRANSFER CASE INNER SEALS BROKEN,10/24/18,,12/21/18,14818579,14318,,Oct-18,122,10,FALSE,FALSE,FALSE,0,
268,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1004907667,PM01,2,,DWSS SWITCH BOX ASSEMBLY DAMAGED,10/30/18,,1/9/19,14818579,0,,Oct-18,121,10,FALSE,FALSE,FALSE,0,
242,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1004840950,PM01,1,,Transmission ECM INOP,10/19/18,,10/31/18,14818579,0,,Oct-18,122,10,FALSE,FALSE,FALSE,0,
272,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1004907664,PM01,1,,JBPDS INOP,10/30/18,,11/29/18,14818579,10080,,Oct-18,121,10,FALSE,TRUE,FALSE,1,54
271,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1004915388,PM01,1,,NEEDS NEW UDR13 MOUNT,10/30/18,,11/27/18,14818579,3217.64,,Oct-18,112,10,FALSE,FALSE,FALSE,0,
394,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1005580209,PM01,2,,FTS INOP,2/23/19,,6/21/19,14818579,4089,,Feb-19,112,2,FALSE,TRUE,FALSE,1,671
306,FY19,19,WH8DAA,71-111,1011279664,NBC-0108-11,1005228108,PM01,2,,RWS SOFT MOUNT NUT AND BOLT MISSING,12/27/18,,1/15/19,14818579,95.72,,Dec-18,111,12,FALSE,FALSE,TRUE,1,
274,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1004907668,PM01,1,,COLLECTOR INOP,10/30/18,,11/29/18,14818579,23298,,Oct-18,121,10,FALSE,FALSE,FALSE,0,
275,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1004927322,PM01,1,,CTIS INOP,10/31/18,,11/27/18,14818579,1138,,Oct-18,112,10,FALSE,FALSE,FALSE,0,
276,FY19,19,WH8DAA,71-111,1011279664,NBC-0108-11,1004927640,PM01,1,,REAR UPPER ARMOR CRACKED,11/1/18,,12/5/18,14818579,0,,Nov-18,111,11,FALSE,FALSE,FALSE,0,
277,FY19,19,WH8DAA,71-111,1011279664,NBC-0108-11,1004927842,PM01,2,,W21 LINE BROKEN,11/1/18,,7/17/19,14818579,0,,Nov-18,111,11,FALSE,FALSE,FALSE,0,
278,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1004960412,PM01,2,,SERVER WORK STATION WILL NOT STOW,11/6/18,,2/13/19,14818579,0,,Nov-18,121,11,FALSE,FALSE,FALSE,0,
279,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1004960320,PM01,2,,VET TOUCHSCREEN INOP,11/6/18,,8/23/19,14818579,0,,Nov-18,112,11,FALSE,FALSE,FALSE,0,
280,FY19,19,WH8DAA,71-111,1011279664,NBC-0108-11,1004960319,PM01,1,,BOLT STUD FOR DRIVER HATCH,11/6/18,,12/11/18,14818579,14.6,,Nov-18,111,11,FALSE,FALSE,FALSE,0,
281,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1004960413,PM01,2,,REAR DECK HATCH LEFT HANDLE NEEDS ADJUST,11/6/18,,11/27/18,14818579,62.16,,Nov-18,121,11,FALSE,FALSE,FALSE,0,
282,FY19,19,WH8DAA,71-111,1011279664,NBC-0108-11,1004960317,PM01,2,,REAR DECK HATCH LEFT HANDLE,11/6/18,,11/27/18,14818579,155.4,,Nov-18,111,11,FALSE,FALSE,FALSE,0,
283,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1004960411,PM01,2,,L/R REAR TIRE WILL BE WORN,11/6/18,,1/12/19,14818579,3730,,Nov-18,121,11,FALSE,FALSE,FALSE,0,
284,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1004993878,PM01,1,,CBMS Block II,11/9/18,,12/4/18,14818579,331575,170000,Nov-18,121,11,TRUE,FALSE,FALSE,1,758
285,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005009854,PM01,1,,Chem Prob Worn,11/14/18,,11/15/18,14818579,0,,Nov-18,121,11,FALSE,FALSE,FALSE,0,
286,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005009853,PM01,2,,Printer Test Page Dose Not Print,11/14/18,,1/17/19,14818579,230,,Nov-18,121,11,FALSE,FALSE,FALSE,0,
287,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005009852,PM01,2,,Drain plugs seized,11/14/18,,5/30/19,14818579,444.48,,Nov-18,121,11,FALSE,FALSE,FALSE,0,
288,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005019366,PM01,1,,CHEM PROB WORN,11/15/18,,1/15/19,14818579,4164,,Nov-18,121,11,FALSE,FALSE,FALSE,0,
250,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1004840947,PM01,1,,JSLSCAD ODU INOP (PQDR),10/19/18,,12/21/18,14818579,7135,,Oct-18,122,10,FALSE,FALSE,FALSE,0,
290,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,2002602543,PM02,A,,AFQ-Annual,11/27/18,,11/28/18,14818579,0,,Nov-18,122,11,FALSE,FALSE,FALSE,0,
291,FY19,19,WB25RD,71-121,1011279686,NBC-0109-11,1005080071,PM01,1,,ANVDR 2 MOUNT INOP,11/27/18,,12/11/18,14818579,0,,Nov-18,121,11,FALSE,FALSE,FALSE,0,
236,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1004670009,PM01,1,,M2 .50 CAL SOLENOID,9/21/18,,10/29/18,14818579,1427,,Sep-18,122,9,FALSE,FALSE,FALSE,0,
231,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1004631686,PM01,1,,CBMSII INOP,9/17/18,,1/3/19,14818579,161463,,Sep-18,122,9,TRUE,FALSE,FALSE,1,534
294,FY19,19,WH8DAA,71-111,1011279664,NBC-0108-11,1005181693,PM01,1,,Collector INOP (PQDR),12/13/18,,1/24/19,14818579,0,,Dec-18,111,12,FALSE,FALSE,FALSE,0,
295,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005181694,PM02,1,,CBMS Block II INOP (PQDR),12/13/18,,1/30/19,14818579,0,,Dec-18,121,12,TRUE,FALSE,FALSE,1,
296,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005218553,PM01,1,,RWS INHIBIT FIRE ZONE NOT DISPLAYED,12/21/18,,12/21/18,14818579,0,,Dec-18,121,12,FALSE,FALSE,TRUE,1,775
225,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1004601819,PM01,1,,Fuel sending unit inop,9/12/18,,10/18/18,14818579,214,,Sep-18,122,9,FALSE,FALSE,FALSE,0,
298,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005227995,PM01,1,,STORM INOP,12/27/18,,1/16/19,14818579,0,,Dec-18,121,12,FALSE,FALSE,FALSE,0,
307,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1005227998,PM01,2,,RWS SOFT MOUNT NUT AND BOLT MISSING,12/27/18,,1/15/19,14818579,95.72,,Dec-18,112,12,FALSE,FALSE,TRUE,1,
300,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1005228103,PM01,1,,STORM GROUNDING WIRE DAMAGED,12/27/18,,1/25/19,14818579,0,,Dec-18,112,12,FALSE,FALSE,FALSE,0,
301,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1005228102,PM01,1,,CHEM PROB BUCKEL INOP,12/27/18,,2/8/19,14818579,0,,Dec-18,112,12,FALSE,FALSE,FALSE,0,
170,FY18,18,WH8DAA,71-122,1011279723,NBC-0111-11,1003276078,PM01,1,,JBPDS COMPRESSOR INOP,2/15/18,,4/20/18,14818579,2942,,Feb-18,122,2,FALSE,TRUE,FALSE,1,155
293,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1005128253,PM01,1,,JBPDS T6 Line,12/4/18,,1/9/19,14818579,2277.1,,Dec-18,122,12,FALSE,TRUE,FALSE,1,
222,FY18,18,WH8DAA,71-122,1011279723,NBC-0111-11,1004560602,PM01,1,,COLLECTOR INOP,9/6/18,,9/7/18,14818579,0,,Sep-18,122,9,FALSE,FALSE,FALSE,0,
317,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1005227999,PM01,2,,RWS SMALL CASING COLLECTOR MISSING,12/27/18,,1/15/19,14818579,2254,,Dec-18,112,12,FALSE,FALSE,TRUE,1,
226,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1004602622,PM01,1,,FTS T6 line damaged,9/12/18,,10/24/18,14818579,2244,,Sep-18,122,9,FALSE,TRUE,FALSE,1,
104,FY18,18,WH8DAA,71-112,1011279704,NBC-0110-11,1002537340,PM01,1,,(M) LINE FROM IDENTIFIER TO FTS,10/11/17,,1/23/18,14818579,2244,,Oct-17,112,10,FALSE,TRUE,FALSE,1,
219,FY18,18,WH8DAA,71-122,1011279723,NBC-0111-11,1004410913,PM01,1,,BATTERY INOP,8/14/18,,9/6/18,14818579,0,,Aug-18,122,8,FALSE,FALSE,FALSE,0,
309,FY20,20,WH8DAA,71-121,1011279686,NBC-0109-11,1005227990,PM01,2,,SERVICE FILTERS,12/27/18,,10/3/19,14818579,104.28,,Dec-18,121,12,FALSE,FALSE,FALSE,0,
310,FY20,20,WH8DAA,71-111,1011279664,NBC-0108-11,1005227988,PM01,2,,SERVICE FILTERS,12/27/18,,10/23/19,14818579,104.28,,Dec-18,111,12,FALSE,FALSE,FALSE,0,
311,FY20,20,WH8DAA,71-112,1011279704,NBC-0110-11,1005227989,PM01,2,,SERVICE FILTERS,12/27/18,,10/23/19,14818579,104.28,,Dec-18,112,12,FALSE,FALSE,FALSE,0,
312,FY19,19,WH8DAA,71-111,1011279664,NBC-0108-11,1005228107,PM01,2,,LR DECK DOOR HANDLE THREDS DAMAGED,12/27/18,,1/15/19,14818579,395,,Dec-18,111,12,FALSE,FALSE,FALSE,0,
313,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005227993,PM01,1,,RWS W19 CABLE DAMAGED,12/27/18,,1/12/19,14818579,694,,Dec-18,121,12,FALSE,FALSE,TRUE,1,
314,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1005228000,PM01,1,,STORM HI POWER MODE INOP,12/27/18,,1/29/19,14818579,694,,Dec-18,112,12,FALSE,FALSE,FALSE,0,
315,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1005228101,PM01,1,,BATTRIES TESTED BAD,12/27/18,,1/12/19,14818579,1249.96,,Dec-18,112,12,FALSE,FALSE,FALSE,0,
316,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1005227996,PM01,1,,RIGHT SECOND TIRE DAMAGED,12/27/18,,1/12/19,14818579,1865,,Dec-18,112,12,FALSE,FALSE,FALSE,0,
264,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1004914916,PM01,1,,FTS INOP,10/30/18,,11/15/18,14818579,0,,Oct-18,112,10,FALSE,TRUE,FALSE,1,1
255,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1004904755,PM01,1,,BAWS INOP,10/29/18,,10/30/18,14818579,0,,Oct-18,112,10,FALSE,TRUE,FALSE,1,383
319,FY19,19,WH8DAA,71-111,1011279664,NBC-0108-11,1005230604,PM01,1,,LCS FAILS TO INITIATE,12/28/18,,1/29/19,14818579,10080,,Dec-18,111,12,FALSE,FALSE,FALSE,0,
217,FY18,18,WH8DAA,71-122,1011279723,NBC-0111-11,1004367043,PM01,1,,COMPRESSOR INOP,8/8/18,,9/6/18,14818579,2942,,Aug-18,122,8,FALSE,FALSE,FALSE,0,
321,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005272491,PM01,1,,DWSS Switch box assembly damaged,1/9/19,,1/12/19,14818579,0,,Jan-19,121,1,FALSE,FALSE,FALSE,0,
322,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1005265760,PM01,1,,CVSS WILL NOT COMPLT BIT,1/9/19,,1/15/19,14818579,0,,Jan-19,112,1,FALSE,FALSE,FALSE,0,
323,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005266162,PM01,1,,CVSS DEGRADED,1/9/19,,1/16/19,14818579,0,,Jan-19,121,1,FALSE,FALSE,FALSE,0,
324,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005266163,PM01,1,,VDET DEGRADED,1/9/19,,1/16/19,14818579,0,,Jan-19,121,1,FALSE,FALSE,FALSE,0,
325,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1005265257,PM01,1,,JSLSCAD INOP TROUBLE SHOOTING,1/9/19,,1/16/19,14818579,0,,Jan-19,112,1,FALSE,FALSE,FALSE,0,
326,FY19,19,WH8DAA,71-111,1011279664,NBC-0108-11,1005266166,PM01,1,,KGV-72 NOT COMMUNICATING WITH JCR,1/9/19,,1/21/19,14818579,0,,Jan-19,111,1,FALSE,FALSE,FALSE,0,
212,FY18,18,WH8DAA,71-122,1011279723,NBC-0111-11,1004357073,PM01,1,,BATTERY INOP,8/7/18,,8/15/18,14818579,0,,Aug-18,122,8,FALSE,FALSE,FALSE,0,
232,FY19,19,WH8DAA,71-111,1011279664,NBC-0108-11,1004631682,PM01,1,,CBMSII INOP,9/17/18,,10/18/18,14818579,331575,170000,Sep-18,111,9,TRUE,FALSE,FALSE,1,235
256,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1004905142,PM01,1,,BAWS INOP,10/29/18,,10/30/18,14818579,0,,Oct-18,112,10,FALSE,TRUE,FALSE,1,383
204,FY18,18,WH8DAA,71-122,1011279723,NBC-0111-11,1004075251,PM01,1,,FLUID TRANSFER SYST INOP,6/19/18,,8/7/18,14818579,19759,,Jun-18,122,6,FALSE,FALSE,FALSE,0,
331,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005264680,PM01,1,,RWS FIRING INIHIBIT ZONE INOP,1/9/19,,1/30/19,14818579,0,,Jan-19,121,1,FALSE,FALSE,TRUE,1,13
332,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1005265758,PM01,1,,KGV-72 NOT COMMUNICATING WITH JCR,1/9/19,,2/14/19,14818579,0,,Jan-19,112,1,FALSE,FALSE,FALSE,0,
333,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005266164,PM01,1,,LCS INOP (PQDR),1/9/19,,3/7/19,14818579,0,,Jan-19,121,1,FALSE,FALSE,FALSE,0,
334,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005266161,PM01,1,,Transmitter Inop,1/9/19,,3/12/19,14818579,0,,Jan-19,121,1,FALSE,FALSE,FALSE,0,
335,FY19,19,WH8DAA,71-111,1011279664,NBC-0108-11,1005292993,PM01,2,,VC DOME LIGHT INOP,1/12/19,,1/29/19,14818579,8,,Jan-19,111,1,FALSE,FALSE,FALSE,0,
336,FY19,19,WH8DAA,71-111,1011279664,NBC-0108-11,1005308278,PM01,1,,RF TIRE WORN.,1/15/19,,1/16/19,14818579,0,,Jan-19,111,1,FALSE,FALSE,FALSE,0,
337,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005308426,PM01,2,,ENGINE HATCH HAS OIL RESIDUE.,1/15/19,,1/16/19,14818579,0,,Jan-19,121,1,FALSE,FALSE,FALSE,0,
338,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005308432,PM01,2,,CREW AFES BOTTLE PAINT CHIPPED & BUBBLED,1/15/19,,1/16/19,14818579,0,,Jan-19,121,1,FALSE,FALSE,FALSE,0,
339,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005308423,PM01,2,,THIRD RH TIRE HAS A NAIL.,1/15/19,,1/16/19,14818579,0,,Jan-19,121,1,FALSE,FALSE,FALSE,0,
340,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005305719,PM01,2,,HELL WHOLE HATCH HAS MINOR DAMAGE.,1/15/19,,1/16/19,14818579,0,,Jan-19,121,1,FALSE,FALSE,FALSE,0,
341,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005308431,PM01,2,,SERVAYER FIRE EXTINGUISHER EXPIRED,1/15/19,,1/16/19,14818579,0,,Jan-19,121,1,FALSE,FALSE,FALSE,0,
342,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005308422,PM01,2,,UPPER RH PLATE ON LH SIDE HAS MINOR DMG,1/15/19,,1/16/19,14818579,0,,Jan-19,121,1,FALSE,FALSE,FALSE,0,
343,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005305718,PM01,2,,UPPER LEFT ARMOR PLATE MINOR DAMAGE.,1/15/19,,1/16/19,14818579,0,,Jan-19,121,1,FALSE,FALSE,FALSE,0,
344,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005308433,PM01,2,,FLEX HOSE ON CHEM PROBE WORN.,1/15/19,,1/16/19,14818579,0,,Jan-19,121,1,FALSE,FALSE,FALSE,0,
345,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005308427,PM01,2,,HYDRO HATCH COMBAT LOCK INOP,1/15/19,,1/16/19,14818579,0,,Jan-19,121,1,FALSE,FALSE,FALSE,0,
346,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005308430,PM01,2,,SAFTY PIN MISSING ON DRIVERS FIRE EXTING,1/15/19,,1/16/19,14818579,0,,Jan-19,121,1,FALSE,FALSE,FALSE,0,
347,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005308429,PM01,2,,CCM DISPLAY INDACTES TROOP FAN FAULTS.,1/15/19,,1/16/19,14818579,0,,Jan-19,121,1,FALSE,FALSE,FALSE,0,
348,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005308428,PM01,2,,ALL INTERAL LIGHTS IN THE REAR INOP,1/15/19,,1/17/19,14818579,0,,Jan-19,121,1,FALSE,FALSE,FALSE,0,
199,FY18,18,WH8DAA,71-122,1011279723,NBC-0111-11,1004075302,PM01,1,,BAWS 4 PLU ASSEMBLY,6/19/18,,9/7/18,14818579,0,,Jun-18,122,6,FALSE,TRUE,FALSE,1,124
350,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005308437,PM01,1,,DAP&SPG GIVING FALSE CHEM PROBE STATUS.,1/15/19,,1/29/19,14818579,0,,Jan-19,121,1,FALSE,FALSE,FALSE,0,
351,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005308436,PM01,2,,ANVDR2 POWER CORD DAMAGED.,1/15/19,,2/13/19,14818579,0,,Jan-19,121,1,FALSE,FALSE,FALSE,0,
352,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005308421,PM01,3,,LEFT THIRD AXLE HAS DIRTY HUB OIL.,1/15/19,,2/13/19,14818579,0,,Jan-19,121,1,FALSE,FALSE,FALSE,0,
353,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005308425,PM01,2,,VC GROUNDING WIRE HATCH FRAYED.,1/15/19,,2/13/19,14818579,0,,Jan-19,121,1,FALSE,FALSE,FALSE,0,
190,FY18,18,WH8DAA,71-122,1011279723,NBC-0111-11,1004043414,PM01,1,,COLLECTOR ASSEMBLY,6/12/18,,6/14/18,14818579,0,,Jun-18,122,6,FALSE,FALSE,FALSE,0,
192,FY18,18,WH8DAA,71-122,1011279723,NBC-0111-11,1004043412,PM01,1,,FLUID TRANSFER SYST,6/12/18,,6/19/18,14818579,0,,Jun-18,122,6,FALSE,FALSE,FALSE,0,
356,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005305720,PM01,2,,TOW WINCH CABLE BENT.,1/15/19,,3/7/19,14818579,0,,Jan-19,121,1,FALSE,FALSE,FALSE,0,
357,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005308424,PM01,2,,FRONT MIDDLE DRAIN PLUG HAS OIL RESIDUE.,1/15/19,,5/30/19,14818579,0,,Jan-19,121,1,FALSE,FALSE,FALSE,0,
358,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1005305716,PM01,1,,LEFT SECOND TIRE MISSING SEALING ORING.,1/15/19,,3/13/19,14818579,1.84,,Jan-19,112,1,FALSE,FALSE,FALSE,0,
359,FY20,20,WH8DAA,71-111,1011279664,NBC-0108-11,1005308621,PM01,2,,ALL HATCH SEALS WORN.,1/15/19,,10/24/19,14818579,30.01,,Jan-19,111,1,FALSE,FALSE,FALSE,0,
360,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005308435,PM01,1,,IWG IS OUT OF TOLERANCE.,1/15/19,,2/28/19,14818579,58.12,,Jan-19,121,1,FALSE,FALSE,FALSE,0,
361,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1005305717,PM01,2,,SMALL WIP ANT MISSING BALL.,1/15/19,,4/26/19,14818579,405.2,,Jan-19,112,1,FALSE,FALSE,FALSE,0,
367,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1005369822,PM01,1,,JBPDS F1 LINE INOP,1/24/19,,2/2/19,14818579,2095.46,,Jan-19,112,1,FALSE,TRUE,FALSE,1,
195,FY18,18,WH8DAA,71-111,1011279664,NBC-0108-11,1004058502,PM01,1,,RWS/FCU DOES NOT OPERATE,6/14/18,,7/18/18,14818579,1334,0,Jun-18,111,6,FALSE,FALSE,TRUE,1,439
364,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1005319334,PM01,1,,JSLSCAD INOP,1/16/19,,3/7/19,14818579,0,,Jan-19,112,1,FALSE,FALSE,FALSE,0,
365,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005325112,PM01,2,,SPG WILL NOT COMMUNCATE WITH PRINTER.,1/17/19,,3/7/19,14818579,230,,Jan-19,121,1,FALSE,FALSE,FALSE,0,
139,FY18,18,WH8DAA,71-111,1011279664,NBC-0108-11,1003131331,PM01,1,,CBMS HOSE DISCONNECT BROKEN,1/25/18,,3/1/18,14818579,277,,Jan-18,111,1,TRUE,FALSE,FALSE,1,
152,FY18,18,WH8DAA,71-112,1011279704,NBC-0110-11,1003232339,PM01,1,,CBMS TURBO PUMP ERROR CODE 1003,2/8/18,,6/12/18,14818579,158199,,Feb-18,112,2,TRUE,FALSE,FALSE,1,313
368,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1005372962,PM01,1,,LCS Display Sreen Cracked,1/24/19,,2/2/19,14818579,18226,,Jan-19,112,1,FALSE,FALSE,FALSE,0,
187,FY18,18,WH8DAA,71-122,1011279723,NBC-0111-11,1004008599,PM01,1,,COLLECTOR ASSEMBLY,6/7/18,,6/12/18,14818579,0,,Jun-18,122,6,FALSE,FALSE,FALSE,0,
370,FY19,19,WH8DAA,71-111,1011279664,NBC-0108-11,1005409235,PM01,2,,SPACER RINGS,1/29/19,,6/21/19,14818579,4.5,,Jan-19,111,1,FALSE,FALSE,FALSE,0,
371,FY19,19,WH8DAA,71-111,1011279664,NBC-0108-11,1005409230,PM01,1,,TORN NONMETALLIC HOSE,1/29/19,,2/8/19,14818579,17.72,,Jan-19,111,1,FALSE,FALSE,FALSE,0,
188,FY18,18,WH8DAA,71-122,1011279723,NBC-0111-11,1004009061,PM01,1,,FLUID TRANSFER SYST,6/7/18,,6/12/18,14818579,0,,Jun-18,122,6,FALSE,FALSE,FALSE,0,
