Column1,FY,Year,WorkCenter,AdminNum,Equipment,Serial,WorkOrder,Type,Priority,ProjectCode,Description,Created.on,Release.date,Comp.Date,Material,Cost,credit,Date,vehicle,month,CBMS,jbpds,rws,majComponent,days
155,FY18,18,WH8DAA,71-111,1011279664,NBC-0108-11,1003234599,PM01,1,,(M) INLET COLLECTOR,2/9/18,,6/12/18,14818579,0,,Feb-18,111,2,FALSE,FALSE,FALSE,0,
156,FY18,18,WH8DAA,71-111,1011279664,NBC-0108-11,1003234662,PM01,1,,COLLECTOR STACK DAMAGED,2/9/18,,6/12/18,14818579,2190,,Feb-18,111,2,FALSE,FALSE,FALSE,0,
157,FY18,18,WH8DAA,71-112,1011279704,NBC-0110-11,1003241540,PM01,1,,INLET HOSE BROKEN FOR M88,2/10/18,,6/12/18,14818579,0,,Feb-18,112,2,FALSE,FALSE,FALSE,0,
158,FY18,18,WH8DAA,71-121,1011279686,NBC-0109-11,1003262368,PM01,1,,JBPDS FLUID TRANSFER SYSTEM INOP,2/13/18,,5/2/18,14818579,0,,Feb-18,121,2,FALSE,TRUE,FALSE,1,
159,FY18,18,WH8DAA,71-121,1011279686,NBC-0109-11,1003262852,PM01,1,,BATTERY TERMINAL BROKEN,2/13/18,,6/12/18,14818579,0,,Feb-18,121,2,FALSE,FALSE,FALSE,0,
160,FY18,18,WH8DAA,71-121,1011279686,NBC-0109-11,1003262213,PM01,1,,PROBE PORT SEAL DRYROTTED,2/13/18,,6/12/18,14818579,0,,Feb-18,121,2,FALSE,FALSE,FALSE,0,
161,FY18,18,WH8DAA,71-121,1011279686,NBC-0109-11,1003262376,PM01,1,,NBCSPG WILL NOT COMMUNICATE TO PRINTER,2/13/18,,6/12/18,14818579,0,,Feb-18,121,2,FALSE,FALSE,FALSE,0,
162,FY18,18,WH8DAA,71-121,1011279686,NBC-0109-11,1003262850,PM01,1,,METSMAN GROUNG STRAP FRAY,2/13/18,,6/12/18,14818579,0,,Feb-18,121,2,FALSE,FALSE,FALSE,0,
163,FY18,18,WH8DAA,71-112,1011279704,NBC-0110-11,1003262915,PM01,1,,WATER RATION HEATER W411 CABLE ASSEMBLY,2/13/18,,6/12/18,14818579,0,,Feb-18,112,2,FALSE,FALSE,FALSE,0,
164,FY18,18,WH8DAA,71-111,1011279664,NBC-0108-11,1003262847,PM01,1,,INLET HOSE FOR M88 MISSING CONNECTOR,2/13/18,,6/12/18,14818579,0.86,,Feb-18,111,2,FALSE,FALSE,FALSE,0,
